exposure_days,days_in_quar,days_in_extended_quar,days_in_iso,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,child,compliance,household,ext_group,FoI_max,FoI_community
0.8999999999999999,2.0000000000000004,13.999999999999966,0.0,0.1,4.566598075578737,9.543709901820897,1.066074e6,0,0,0,0,1.0,1878871,1,0.0014892179209656058,0.00020846697421376872
6.999999999999991,2.0000000000000004,14.999999999999963,0.0,0.1,5.6109173893883675,9.716038600397805,1.067217e6,0,0,0,1,1.0,1880892,1,0.0046094882276692395,0.010024693687567653
11.799999999999974,2.0000000000000004,13.999999999999966,0.0,0.1,19.25128344740546,6.710671458745562,1.068455e6,0,0,0,0,1.0,1883073,1,0.0002449371028747992,0.0008727260517285817
1.7000000000000004,2.0000000000000004,13.999999999999966,0.0,0.1,5.445065691537967,5.802248458842465,1.069665e6,0,0,0,0,1.0,1885204,1,2.108303595980044e-8,6.895109977466134e-9
12.199999999999973,3.0000000000000013,16.99999999999997,0.0,0.1,13.619155588295973,9.162694923536565,1.069715e6,0,1,0,1,1.0,1885284,1,3.9589915409122275e-8,1.7247785260038244e-7
0.7999999999999999,2.0000000000000004,0.0,9.99999999999998,0.1,6.212522447484964,8.432923158580929,1.069826e6,1,0,0,0,1.0,1885495,2,6.92380652335278e-8,8.74531986370288e-9
15.499999999999961,13.999999999999966,0.0,0.0,0.1,6.716983180601326,9.97609165586409,1.069828e6,0,1,0,1,1.0,1885492,1,0.12595313499769453,0.5970133467055797
0.7,13.999999999999966,0.0,9.99999999999998,0.1,11.074806792054218,8.56445681168144,1.070524e6,0,0,0,0,1.0,1886704,2,0.9901853259213479,0.10706354778969271
1.3,2.0000000000000004,25.000000000000085,0.0,0.1,10.301328696884804,9.773522979878027,1.070544e6,0,0,0,0,1.0,1886733,1,4.3705878113615323e-10,9.30985123318228e-11
4.200000000000001,2.0000000000000004,0.0,9.99999999999998,0.1,6.178111559059499,9.920640575673207,1.070529e6,0,0,0,0,1.0,1886733,2,1.0192494274116019e-6,9.586948679541163e-7
1.2,2.0000000000000004,0.0,9.99999999999998,0.1,6.133752488475025,8.372303780596177,1.070997e6,1,0,0,0,1.0,1887552,2,0.2722982128065704,0.053630624325540485
8.299999999999986,2.0000000000000004,13.999999999999966,0.0,0.1,9.209456380738427,9.659705076502481,1.072364e6,0,0,0,0,1.0,1889961,1,1.4892582471102758e-6,4.5829912300106e-6
0.8999999999999999,13.999999999999966,0.0,0.0,0.1,4.634364429311255,6.730171378350846,1.074049e6,0,0,0,0,1.0,1892934,0,0.0034165511871073516,0.0005038172215985153
1.0999999999999999,2.0000000000000004,0.0,9.99999999999998,0.1,6.936344478847434,8.026344956044998,1.074056e6,1,0,0,0,1.0,1892953,2,9.72954923618078e-5,1.732646188654672e-5
0.8999999999999999,2.0000000000000004,13.999999999999966,0.0,0.1,5.907599625336285,7.998762750449132,1.075116e6,0,0,0,0,1.0,1894809,2,0.013097390917660254,0.0018625988336605438
0.8999999999999999,5.999999999999995,0.0,9.99999999999998,0.1,9.264976015347326,7.909465357829975,1.075323e6,1,0,0,0,1.0,1895172,2,0.028065257940455023,0.004016328519917206
18.599999999999994,4.999999999999998,13.999999999999966,0.0,0.1,23.046123666862243,9.422411945327053,1.075372e6,0,1,0,0,1.0,1895254,2,0.00021993496092140785,0.0011339857649170688
5.399999999999997,2.0000000000000004,13.999999999999966,0.0,0.1,10.703868080788519,9.155215326787264,1.075422e6,0,0,0,0,1.0,1895348,1,0.0021426960804470014,0.0031038400593529202
0.1,4.000000000000002,13.999999999999966,0.0,0.1,7.406697031606469,5.66170581531614,1.075558e6,0,0,0,0,1.0,1895585,1,11.991084447030799,0.17537618356549578
4.4,2.0000000000000004,13.999999999999966,0.0,0.1,13.388169199336636,6.018831198335009,1.075681e6,0,0,0,1,1.0,1895803,1,0.062141144960894,0.08523093579397499
1.2,2.0000000000000004,13.999999999999966,0.0,0.1,7.472623380482197,9.408888549019697,1.075688e6,0,0,0,0,1.0,1895815,2,0.09069826810434456,0.017762753698244794
